Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
9	146	1.19e-07	6.92	6.94	11.6	11.7	-6.66	13.5	11.6	-5.84	30.4	11.6	11.7	-6.66	19.1
8	144	1.79e-07	6.75	6.8	-15.4	9	-9.63	-17.8	9.45	-9.63	31.6	-15.4	9	-9.63	18.9
7	143	1.79e-07	6.75	4.86	8.9	54.9	2.25	6.91	44.4	9.03	20.1	0.8	41.4	20.1	14.7
6	110	3.87e-06	5.41	4.83	-4.6	-34.2	32	-2	-34.5	33.1	25	-1.9	-36.9	34.9	17.3
5	110	3.87e-06	5.41	4.29	-31.6	-55.8	34.9	-38.8	-54.8	39.6	16.7	-31.6	-53.1	37.9	10.9
4	97	1.4e-05	4.85	4.64	-42.4	-72	11.2	-43.1	-77.1	8.7	11.7	-45.1	-74.7	11.2	9.02
3	85	4.84e-05	4.32	4.42	-4.6	-50.4	26	-2.81	-54.9	22.1	28.6	-1.9	-53.1	23	20.6
2	55	0.00144	2.84	4.82	-58.6	-36.9	-15.6	-59.2	-40.5	-14.9	18.8	-61.3	-36.9	-15.6	13.3
1	38	0.0129	1.89	4.48	41.3	-45	37.9	40.9	-44.7	41.1	16.2	38.6	-42.3	40.9	11.9
