Cluster Index	Z	x	y	z	
9	6.94	11.6	11.7	-6.66
9	5.02	19.7	11.7	-0.72
8	6.8	-15.4	9	-9.63
8	3.92	-28.9	14.4	-12.6
8	3.45	-26.2	11.7	5.22
8	3.44	-23.5	19.8	-18.5
7	4.86	8.9	54.9	2.25
7	4.65	8.9	41.4	-0.72
7	4.2	3.5	41.4	23
7	4.07	3.5	38.7	11.2
7	3.92	14.3	36	20.1
7	3.85	-4.6	41.4	5.22
6	4.83	-4.6	-34.2	32
6	4.29	-4.6	-23.4	32
6	3.47	8.9	-45	34.9
5	4.29	-31.6	-55.8	34.9
5	4.22	-39.7	-58.5	37.9
5	4.05	-37	-66.6	34.9
5	3.81	-42.4	-45	43.8
4	4.64	-42.4	-72	11.2
4	3.76	-42.4	-85.5	5.22
4	3.53	-42.4	-80.1	-3.69
4	3.38	-37	-82.8	5.22
3	4.42	-4.6	-50.4	26
3	4.12	0.8	-61.2	14.1
3	3.63	0.8	-50.4	14.1
2	4.82	-58.6	-36.9	-15.6
2	3.47	-61.3	-53.1	-9.63
2	3.47	-58.6	-47.7	-15.6
1	4.48	41.3	-45	37.9
