sub,Win-Friend,Win-Stranger,Win-Computer,Lose-Friend,Lose-Stranger,Lose-Computer,win-diff-FC,win-diff-FS,lose-diff-FC,lose-diff-FS,win-lose-diff-FS,win-lose-diff-FC
10718,3.0,0.0,0.0,0.0,3.0,-1.0,3.0,3.0,1.0,1.0,2.0,2.0
10720,4.0,0.0,0.0,-5.0,0.0,-1.0,4.0,4.0,-4.0,-4.0,8.0,8.0
10723,3.0,4.0,4.0,-1.0,-2.0,-2.0,-1.0,-1.0,1.0,1.0,-2.0,-2.0
10741,5.0,3.0,3.0,-1.0,-1.0,-1.0,2.0,2.0,0.0,0.0,2.0,2.0
10748,5.0,5.0,5.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
10767,3.0,2.0,-2.0,-2.0,-2.0,-2.0,5.0,5.0,0.0,0.0,5.0,5.0
10770,5.0,0.0,0.0,-5.0,0.0,0.0,5.0,5.0,-5.0,-5.0,10.0,10.0
10774,1.0,1.0,0.0,-1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,2.0,2.0
10777,5.0,3.0,3.0,-1.0,-2.0,-3.0,2.0,2.0,2.0,2.0,0.0,0.0
10781,5.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0
10783,5.0,5.0,5.0,-3.0,-1.0,-2.0,0.0,0.0,-1.0,-1.0,1.0,1.0
10785,5.0,3.0,3.0,-3.0,-2.0,-2.0,2.0,2.0,-1.0,-1.0,3.0,3.0
10794,3.0,0.0,0.0,-2.0,0.0,0.0,3.0,3.0,-2.0,-2.0,5.0,5.0
10800,3.0,4.0,2.0,-5.0,-2.0,-3.0,1.0,1.0,-2.0,-2.0,3.0,3.0
10801,4.0,4.0,4.0,-5.0,-3.0,-1.0,0.0,0.0,-4.0,-4.0,4.0,4.0
10802,5.0,5.0,3.0,-5.0,-2.0,-2.0,2.0,2.0,-3.0,-3.0,5.0,5.0
10804,-1.0,1.0,1.0,0.0,-2.0,-4.0,-2.0,-2.0,4.0,4.0,-6.0,-6.0
10806,0.0,0.0,-5.0,-3.0,0.0,-3.0,5.0,5.0,0.0,0.0,5.0,5.0
10807,5.0,5.0,5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
10809,5.0,3.0,2.0,-1.0,-1.0,0.0,3.0,3.0,-1.0,-1.0,4.0,4.0
10812,5.0,5.0,5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,-3.0,-2.0,-1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0
