sub,Win-Friend,Win-Stranger,Win-Computer,Lose-Friend,Lose-Stranger,Lose-Computer,win-diff-FC,win-diff-FS,lose-diff-FC,lose-diff-FS,win-lose-diff-FS,win-lose-diff-FC
1001,-2.0,2.0,2.0,-2.0,2.0,-1.0,-4.0,-4.0,-1.0,-1.0,-3.0,-3.0
10296,0.0,0.0,1.0,-1.0,-2.0,1.0,-1.0,-1.0,-2.0,-2.0,1.0,1.0
10317,5.0,4.0,0.0,-2.0,-1.0,0.0,5.0,5.0,-2.0,-2.0,7.0,7.0
10319,5.0,0.0,0.0,0.0,-3.0,-4.0,5.0,5.0,4.0,4.0,1.0,1.0
10369,5.0,4.0,4.0,-5.0,-2.0,-2.0,1.0,1.0,-3.0,-3.0,4.0,4.0
10402,5.0,5.0,3.0,-5.0,-5.0,-5.0,2.0,2.0,0.0,0.0,2.0,2.0
10462,5.0,5.0,0.0,0.0,0.0,-5.0,5.0,5.0,5.0,5.0,0.0,0.0
10486,5.0,5.0,4.0,-5.0,-2.0,-2.0,1.0,1.0,-3.0,-3.0,4.0,4.0
10529,5.0,5.0,5.0,-5.0,-4.0,-3.0,0.0,0.0,-2.0,-2.0,2.0,2.0
10541,5.0,4.0,5.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,2.0,2.0
10555,5.0,3.0,4.0,-3.0,-2.0,-3.0,1.0,1.0,0.0,0.0,1.0,1.0
10559,3.0,3.0,0.0,-4.0,0.0,0.0,3.0,3.0,-4.0,-4.0,7.0,7.0
10572,5.0,5.0,3.0,-2.0,-2.0,0.0,2.0,2.0,-2.0,-2.0,4.0,4.0
10584,5.0,5.0,5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
10585,5.0,5.0,3.0,-3.0,-3.0,-2.0,2.0,2.0,-1.0,-1.0,3.0,3.0
10589,4.0,1.0,1.0,-4.0,-3.0,-3.0,3.0,3.0,-1.0,-1.0,4.0,4.0
10590,5.0,3.0,-3.0,-4.0,-2.0,0.0,8.0,8.0,-4.0,-4.0,12.0,12.0
10596,5.0,2.0,0.0,-4.0,-2.0,0.0,5.0,5.0,-4.0,-4.0,9.0,9.0
10603,5.0,5.0,0.0,-3.0,-3.0,0.0,5.0,5.0,-3.0,-3.0,8.0,8.0
10608,5.0,2.0,4.0,-5.0,0.0,0.0,1.0,1.0,-5.0,-5.0,6.0,6.0
10617,5.0,5.0,0.0,-5.0,-5.0,0.0,5.0,5.0,-5.0,-5.0,10.0,10.0
10636,5.0,3.0,0.0,-5.0,-1.0,0.0,5.0,5.0,-5.0,-5.0,10.0,10.0
10638,5.0,5.0,3.0,-5.0,-3.0,-3.0,2.0,2.0,-2.0,-2.0,4.0,4.0
10640,5.0,0.0,0.0,-5.0,-5.0,-5.0,5.0,5.0,0.0,0.0,5.0,5.0
10641,5.0,1.0,4.0,-2.0,-5.0,-3.0,1.0,1.0,1.0,1.0,0.0,0.0
10642,5.0,2.0,-1.0,-5.0,0.0,0.0,6.0,6.0,-5.0,-5.0,11.0,11.0
10644,5.0,0.0,0.0,-5.0,0.0,0.0,5.0,5.0,-5.0,-5.0,10.0,10.0
10647,-2.0,0.0,-2.0,-4.0,-1.0,0.0,0.0,0.0,-4.0,-4.0,4.0,4.0
10649,5.0,5.0,5.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
10652,5.0,0.0,0.0,0.0,0.0,-2.0,5.0,5.0,2.0,2.0,3.0,3.0
10656,2.0,1.0,4.0,-1.0,0.0,0.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0
10657,5.0,5.0,0.0,-5.0,-3.0,0.0,5.0,5.0,-5.0,-5.0,10.0,10.0
10659,5.0,5.0,5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
10661,5.0,5.0,5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
10663,4.0,3.0,2.0,-5.0,-3.0,-3.0,2.0,2.0,-2.0,-2.0,4.0,4.0
10668,5.0,5.0,5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
10673,3.0,1.0,0.0,-5.0,-1.0,0.0,3.0,3.0,-5.0,-5.0,8.0,8.0
10674,5.0,4.0,4.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0
10677,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,2.0,2.0
10685,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0
10690,5.0,5.0,5.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
10691,5.0,3.0,4.0,-2.0,-2.0,-4.0,1.0,1.0,2.0,2.0,-1.0,-1.0
10701,5.0,4.0,3.0,-5.0,-4.0,-1.0,2.0,2.0,-4.0,-4.0,6.0,6.0
10713,0.0,0.0,5.0,-5.0,0.0,-5.0,-5.0,-5.0,0.0,0.0,-5.0,-5.0
10716,5.0,0.0,0.0,-5.0,0.0,0.0,5.0,5.0,-5.0,-5.0,10.0,10.0
