sub,Win-Friend,Win-Stranger,Win-Comp,Lose-Friend,Lose-Stranger,Lose-Comp
1001,-2.0,2.0,2.0,-2.0,2.0,-1.0
10296,0.0,0.0,1.0,-1.0,-2.0,1.0
10319,5.0,0.0,0.0,0.0,-3.0,-4.0
10369,5.0,4.0,4.0,-5.0,-2.0,-2.0
10462,5.0,5.0,0.0,0.0,0.0,-5.0
10529,5.0,5.0,5.0,-5.0,-4.0,-3.0
10555,5.0,3.0,4.0,-3.0,-2.0,-3.0
10589,4.0,1.0,1.0,-4.0,-3.0,-3.0
10596,5.0,2.0,0.0,-4.0,-2.0,0.0
2002,-2.0,2.0,-2.0,2.0,-2.0,2.0
