sub,Win-Friend,Win-Stranger,Win-Computer,Lose-Friend,Lose-Stranger,Lose-Computer,win-diff-FC,win-diff-FS,lose-diff-FC,lose-diff-FS,win-lose-diff-FS,win-lose-diff-FC,sub_age,oafem_total,ios_friend_score,ios_computer_score,ios_stranger_score,age_demeaned,ios_f-s,ios_f-c,ageXoafem,ageXios_f-s,oafemXios_f-s,ageXoafemXios_f-s,ageXios_f-c,oafemXios_f-c,ageXoafemXios_f-c
10317,5,4,0,-2,-1,0,5,5,-2,-2,7,7,62.96,0,3,1,2,18.32714286,1,2,0,18.32714286,0,0,36.65428571,0,0
10369,5,4,4,-5,-2,-2,1,1,-3,-3,4,4,31.95,0,4,1,1,-12.68285714,3,3,0,-38.04857143,0,0,-38.04857143,0,0
10402,5,5,3,-5,-5,-5,2,2,0,0,2,2,35.94,2,4,5,2,-8.692857143,2,-1,71.88,-17.38571429,4,-34.77142857,8.692857143,-2,17.38571429
10486,5,5,4,-5,-2,-2,1,1,-3,-3,4,4,41.91,19,4,4,4,-2.722857143,0,0,796.29,0,0,0,0,0,0
10529,5,5,5,-5,-4,-3,0,0,-2,-2,2,2,67.8,4,7,1,1,23.16714286,6,6,271.2,139.0028571,24,556.0114286,139.0028571,24,556.0114286
10541,5,4,5,-2,0,0,0,0,-2,-2,2,2,69.16,9,3,1,1,24.52714286,2,2,622.44,49.05428571,18,441.4885714,49.05428571,18,441.4885714
10572,5,5,3,-2,-2,0,2,2,-2,-2,4,4,70.46,0,2,1,1,25.82714286,1,1,0,25.82714286,0,0,25.82714286,0,0
10585,5,5,3,-3,-3,-2,2,2,-1,-1,3,3,63.33,8,7,1,1,18.69714286,6,6,506.64,112.1828571,48,897.4628571,112.1828571,48,897.4628571
10589,4,1,1,-4,-3,-3,3,3,-1,-1,4,4,34.87,2,5,1,3,-9.762857143,2,4,69.74,-19.52571429,4,-39.05142857,-39.05142857,8,-78.10285714
10590,5,3,-3,-4,-2,0,8,8,-4,-4,12,12,56.4,0,4,1,1,11.76714286,3,3,0,35.30142857,0,0,35.30142857,0,0
10596,5,2,0,-4,-2,0,5,5,-4,-4,9,9,27.27,13,4,1,1,-17.36285714,3,3,354.51,-52.08857143,39,-677.1514286,-52.08857143,39,-677.1514286
10608,5,2,4,-5,0,0,1,1,-5,-5,6,6,29.07,0,4,1,1,-15.56285714,3,3,0,-46.68857143,0,0,-46.68857143,0,0
10636,5,3,0,-5,-1,0,5,5,-5,-5,10,10,26.81,4,7,1,5,-17.82285714,2,6,107.24,-35.64571429,8,-142.5828571,-106.9371429,24,-427.7485714
10638,5,5,3,-5,-3,-3,2,2,-2,-2,4,4,71.83,8,6,1,1,27.19714286,5,5,574.64,135.9857143,40,1087.885714,135.9857143,40,1087.885714
10640,5,0,0,-5,-5,-5,5,5,0,0,5,5,31.73,8,7,1,1,-12.90285714,6,6,253.84,-77.41714286,48,-619.3371429,-77.41714286,48,-619.3371429
10642,5,2,-1,-5,0,0,6,6,-5,-5,11,11,31.9,14,2,4,1,-12.73285714,1,-2,446.6,-12.73285714,14,-178.26,25.46571429,-28,356.52
10644,5,0,0,-5,0,0,5,5,-5,-5,10,10,69.41,3,6,1,1,24.77714286,5,5,208.23,123.8857143,15,371.6571429,123.8857143,15,371.6571429
10647,-2,0,-2,-4,-1,0,0,0,-4,-4,4,4,24.59,6,5,1,2,-20.04285714,3,4,147.54,-60.12857143,18,-360.7714286,-80.17142857,24,-481.0285714
10649,5,5,5,-4,-4,-4,0,0,0,0,0,0,63.8,4,6,1,1,19.16714286,5,5,255.2,95.83571429,20,383.3428571,95.83571429,20,383.3428571
10652,5,0,0,0,0,-2,5,5,2,2,3,3,70.05,0,2,1,1,25.41714286,1,1,0,25.41714286,0,0,25.41714286,0,0
10656,2,1,4,-1,0,0,-2,-2,-1,-1,-1,-1,21.43,12,7,2,5,-23.20285714,2,5,257.16,-46.40571429,24,-556.8685714,-116.0142857,60,-1392.171429
10657,5,5,0,-5,-3,0,5,5,-5,-5,10,10,58.98,10,4,1,1,14.34714286,3,3,589.8,43.04142857,30,430.4142857,43.04142857,30,430.4142857
10659,5,5,5,-5,-5,-5,0,0,0,0,0,0,62.39,0,6,4,1,17.75714286,5,2,0,88.78571429,0,0,35.51428571,0,0
10663,4,3,2,-5,-3,-3,2,2,-2,-2,4,4,22.07,12,7,1,1,-22.56285714,6,6,264.84,-135.3771429,72,-1624.525714,-135.3771429,72,-1624.525714
10673,3,1,0,-5,-1,0,3,3,-5,-5,8,8,48.6,25,7,1,1,3.967142857,6,6,1215,23.80285714,150,595.0714286,23.80285714,150,595.0714286
10674,5,4,4,-1,-1,-1,1,1,0,0,1,1,33.2,0,7,2,5,-11.43285714,2,5,0,-22.86571429,0,0,-57.16428571,0,0
10677,1,0,0,-1,0,0,1,1,-1,-1,2,2,33.37,1,7,1,1,-11.26285714,6,6,33.37,-67.57714286,6,-67.57714286,-67.57714286,6,-67.57714286
10685,5,0,0,0,0,0,5,5,0,0,5,5,34.43,2,2,1,1,-10.20285714,1,1,68.86,-10.20285714,2,-20.40571429,-10.20285714,2,-20.40571429
10691,5,3,4,-2,-2,-4,1,1,2,2,-1,-1,58.27,13,6,1,1,13.63714286,5,5,757.51,68.18571429,65,886.4142857,68.18571429,65,886.4142857
10701,5,4,3,-5,-4,-1,2,2,-4,-4,6,6,27.02,7,6,1,3,-17.61285714,3,5,189.14,-52.83857143,21,-369.87,-88.06428571,35,-616.45
10716,5,0,0,-5,0,0,5,5,-5,-5,10,10,69.13,2,4,1,1,24.49714286,3,3,138.26,73.49142857,6,146.9828571,73.49142857,6,146.9828571
10718,3,0,0,0,3,-1,3,3,1,1,2,2,28.3,0,7,3,4,-16.33285714,3,4,0,-48.99857143,0,0,-65.33142857,0,0
10720,4,0,0,-5,0,-1,4,4,-4,-4,8,8,33.44,18,6,2,1,-11.19285714,5,4,601.92,-55.96428571,90,-1007.357143,-44.77142857,72,-805.8857143
10748,5,5,5,-2,-2,-2,0,0,0,0,0,0,33.3,20,7,3,2,-11.33285714,5,4,666,-56.66428571,100,-1133.285714,-45.33142857,80,-906.6285714
10767,3,2,-2,-2,-2,-2,5,5,0,0,5,5,25.51,19,5,2,2,-19.12285714,3,3,484.69,-57.36857143,57,-1090.002857,-57.36857143,57,-1090.002857
10770,5,0,0,-5,0,0,5,5,-5,-5,10,10,64.52,2,7,5,1,19.88714286,6,2,129.04,119.3228571,12,238.6457143,39.77428571,4,79.54857143
10774,1,1,0,-1,0,0,1,1,-1,-1,2,2,46.3,12,6,3,4,1.667142857,2,3,555.6,3.334285714,24,40.01142857,5.001428571,36,60.01714286
10777,5,3,3,-1,-2,-3,2,2,2,2,0,0,38.36,35,5,4,2,-6.272857143,3,1,1342.6,-18.81857143,105,-658.65,-6.272857143,35,-219.55
10781,5,3,0,0,0,0,5,5,0,0,5,5,37.53,8,4,1,1,-7.102857143,3,3,300.24,-21.30857143,24,-170.4685714,-21.30857143,24,-170.4685714
10783,5,5,5,-3,-1,-2,0,0,-1,-1,1,1,51.18,0,2,3,1,6.547142857,1,-1,0,6.547142857,0,0,-6.547142857,0,0
10785,5,3,3,-3,-2,-2,2,2,-1,-1,3,3,61.23,8,6,1,1,16.59714286,5,5,489.84,82.98571429,40,663.8857143,82.98571429,40,663.8857143
10794,3,0,0,-2,0,0,3,3,-2,-2,5,5,39.69,23,4,2,2,-4.942857143,2,2,912.87,-9.885714286,46,-227.3714286,-9.885714286,46,-227.3714286
10800,3,4,2,-5,-2,-3,1,1,-2,-2,3,3,26.85,26,4,3,1,-17.78285714,3,1,698.1,-53.34857143,78,-1387.062857,-17.78285714,26,-462.3542857
10801,4,4,4,-5,-3,-1,0,0,-4,-4,4,4,34.53,0,6,1,2,-10.10285714,4,5,0,-40.41142857,0,0,-50.51428571,0,0
10802,5,5,3,-5,-2,-2,2,2,-3,-3,5,5,42.69,14,5,1,3,-1.942857143,2,4,597.66,-3.885714286,28,-54.4,-7.771428571,56,-108.8
10804,-1,1,1,0,-2,-4,-2,-2,4,4,-6,-6,25.5,14,2,1,1,-19.13285714,1,1,357,-19.13285714,14,-267.86,-19.13285714,14,-267.86
10806,0,0,-5,-3,0,-3,5,5,0,0,5,5,26.99,6,5,1,1,-17.64285714,4,4,161.94,-70.57142857,24,-423.4285714,-70.57142857,24,-423.4285714
10807,5,5,5,-5,-5,-5,0,0,0,0,0,0,58.05,0,7,4,1,13.41714286,6,3,0,80.50285714,0,0,40.25142857,0,0
