Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
15	797	6.74e-25	24.2	5.17	3.5	30.6	52.7	2.28	52.4	24.6	44.9	0.8	63	17.1	23
14	738	1.3e-23	22.9	4.91	3.5	-39.6	8.19	0.143	-49.9	31	47.1	-1.9	-39.6	2.25	26.6
13	350	4.77e-14	13.3	5.33	-53.2	-66.6	23	-48.6	-64.9	34.8	26.3	-39.7	-72	49.8	17.3
12	336	1.19e-13	12.9	5.31	38.6	-74.7	49.8	48.7	-62.9	36	32.1	38.6	-72	49.8	17.2
11	193	3.48e-09	8.46	4.47	44	9	43.8	46.6	17.3	33	32.9	57.5	19.8	32	18.1
10	96	1.81e-05	4.74	4.48	11.6	-4.5	14.1	2.85	-7.26	10.5	39.1	0.8	-15.3	14.1	23.1
9	96	1.81e-05	4.74	4.31	49.4	27.9	-9.63	40.8	26	-7.34	30.1	41.3	19.8	-12.6	18.2
8	67	0.000391	3.41	4.36	-55.9	-18	-9.63	-57.8	-15.5	-10.6	21.4	-55.9	-12.6	-9.63	16
7	41	0.00928	2.03	4.16	49.4	-53.1	-21.5	50.1	-53.5	-19.3	27.8	52.1	-58.5	-24.5	17.6
6	38	0.0139	1.86	4.17	65.6	-45	-0.72	63.2	-42.8	-1.14	16.8	62.9	-47.7	-3.69	14.8
5	38	0.0139	1.86	4.96	-18.1	14.4	-0.72	-17.8	13.7	-0.0963	22	-15.4	14.4	-0.72	16.4
4	36	0.0182	1.74	3.77	-53.2	-53.1	-0.72	-61.4	-51.3	-3.72	17	-64	-55.8	-0.72	13.1
3	33	0.0277	1.56	5.52	-20.8	3.6	-12.6	-20.7	6.15	-13.1	32.8	-20.8	3.6	-15.6	20.5
2	32	0.0319	1.5	3.76	30.5	63	8.19	29.7	61.4	4.11	26.8	30.5	63	8.19	21
1	30	0.0425	1.37	4.01	-53.2	0.9	-27.4	-53	2.22	-27.3	14.9	-55.9	-1.8	-27.4	12.4
