Cluster Index	Z	x	y	z	
15	5.17	3.5	30.6	52.7
15	4.71	3.5	63	-12.6
15	4.68	-1.9	63	32
15	4.67	-4.6	68.4	17.1
15	4.65	0.8	65.7	17.1
15	4.44	8.9	65.7	20.1
14	4.91	3.5	-39.6	8.19
14	4.85	-1.9	-53.1	26
14	4.81	-1.9	-45	23
14	4.74	0.8	-63.9	40.9
14	4.74	6.2	-47.7	32
14	4.62	-1.9	-31.5	-0.72
13	5.33	-53.2	-66.6	23
13	4.91	-55.9	-61.2	34.9
13	4.81	-53.2	-69.3	34.9
13	4.63	-45.1	-53.1	29
13	4.27	-39.7	-69.3	49.8
13	4.24	-39.7	-63.9	49.8
12	5.31	38.6	-74.7	49.8
12	4.71	46.7	-69.3	43.8
12	4.49	46.7	-58.5	26
12	4.43	57.5	-63.9	32
12	4.25	60.2	-58.5	20.1
12	4.12	60.2	-53.1	17.1
11	4.47	44	9	43.8
11	4.42	54.8	19.8	32
11	4.25	44	19.8	32
11	4.24	57.5	14.4	40.9
11	4.12	54.8	22.5	40.9
11	4.05	52.1	25.2	26
10	4.48	11.6	-4.5	14.1
10	4.26	6.2	-4.5	5.22
10	4.14	-7.3	0.9	5.22
10	4.09	-1.9	-18	14.1
10	3.64	-10	-4.5	11.2
10	3.57	8.9	0.9	8.19
9	4.31	49.4	27.9	-9.63
9	4	41.3	19.8	-12.6
9	3.91	38.6	25.2	2.25
9	3.8	38.6	30.6	-6.66
9	3.61	30.5	19.8	-15.6
8	4.36	-55.9	-18	-9.63
8	3.71	-55.9	-31.5	-3.69
8	3.66	-64	-4.5	-15.6
7	4.16	49.4	-53.1	-21.5
7	3.58	54.8	-58.5	-15.6
7	3.33	57.5	-47.7	-18.5
6	4.17	65.6	-45	-0.72
6	3.43	60.2	-36.9	-0.72
5	4.96	-18.1	14.4	-0.72
4	3.77	-53.2	-53.1	-0.72
4	3.65	-64	-53.1	-0.72
4	3.6	-61.3	-53.1	5.22
4	3.57	-64	-47.7	-9.63
3	5.52	-20.8	3.6	-12.6
2	3.76	30.5	63	8.19
2	3.71	33.2	63	-3.69
1	4.01	-53.2	0.9	-27.4
